"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T7GUEMPZ","journalArticle","","","Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.","","","","10.1093/pcp/pcw016","","","","2024-05-16 15:04:48","2024-05-16 15:04:48","","","","","","","","","","","","","","","","","","","","","","","","/Users/admin/Zotero/storage/AXTBPUTM/Exploiting the Substrate Promiscuity of Hydroxycin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4JP4RNZ","journalArticle","","","Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.","","","","10.1016/j.jbc.2022.101806","","","","2024-03-15 15:13:55","2024-05-16 15:08:33","","","","","","","","","","","","","","","","","","","","","","","","/Users/admin/Zotero/storage/NDCV5V2L/Identification and characterization of the key enz.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKBNBRW8","journalArticle","","","Identification and characterization of a set of monocot BAHD monolignol transferases.","","","","10.1093/plphys/kiac035","","","","2024-03-15 15:13:54","2024-05-16 15:08:27","","","","","","","","","","","","","","","","","","","","","","","","/Users/admin/Zotero/storage/B2ZZTFRL/Identification and characterization of a set of mo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
